SITIO,d,cw,h,cb
6,19.6,5.35,12.3,7.5
6,10.9,3.7,9.7,8.4
6,14.3,3.75,11.4,10
6,27.2,6.95,16.2,14.5
6,16.7,4.2,12.2,10.3
6,9.7,3.15,8.4,7.15
6,16.8,4.1,11.4,9.3
6,25.2,7.05,16.9,11.6
36,21,4.8,19.8,14.1
36,39.9,6.75,29.5,20.9
36,58.8,9.9,32.9,17.4
36,44.5,8,25.1,13.8
36,49.4,9.5,24,14.7
36,22.6,5.45,20.9,14.6
36,22.3,5.05,18.7,12.7
36,55.8,8.75,29.9,14
36,27.8,4.8,24,18.6
36,35.2,6.7,27.5,17.4
36,21.1,7.1,21.9,12.8
36,37.6,7.85,24.6,15.1
36,10.1,4.35,8.5,3.3
36,29,5.05,23.6,13
36,42,8.3,26.6,17.7
36,48.7,9.2,30.3,17.8
36,49.3,9,25.7,15
36,19.1,4.8,20.1,13.4
38,24.1,5.55,16.9,7.8
11,13.2,5.45,15.8,13.7
11,14.5,5.9,9.7,7
54,41.1,8.65,20.5,17.3
54,38.4,13.05,21,17.5
22,51.5,8.05,24.8,14.1
22,16,3,12,7.9
22,56,8.1,26,15.1
22,14,3,10.5,6.6
22,74.9,14.2,27.4,16.7
22,44,5.4,23.7,16.1
22,29.5,5.15,20.3,10.9
22,29.7,4.75,20.2,13.9
22,42.3,7.65,21.5,14.5
22,11,3.5,8.5,6
22,19,6.3,13.9,8.9
22,32.4,6.15,19.8,12.9
22,12,5.3,11,6.4
22,32.5,6,19.4,13.3
22,14.3,4.3,8.2,5.1
22,23.3,5.3,13.5,7.8
22,13.2,3.3,8.1,4.7
45,27.8,8.55,24.3,10.3
57,61.4,11.55,33.2,19.9
57,61.4,12.05,36.7,18.3
9,13,2.45,11.8,8.1
9,14.9,3.25,10.2,7.5
9,14,3.35,9.3,6
9,12.5,3.2,9.5,5.8
9,13.6,2.5,11.5,8
9,13.1,2.5,11.2,8.8
9,14.4,2.95,12.5,9.3
9,15.8,3.2,10.5,5.8
9,21.6,3.45,12.8,6.6
9,13,2.75,11.7,7.5
9,10.2,2.75,10.4,6.8
9,12.5,3.25,9.9,6.8
9,15.4,3.3,9.1,5.7
9,12.2,2.7,11.5,7.4
9,12.3,2.6,11.2,6.7
9,12,2.5,11.6,8.2
9,14,3.25,12.3,6.9
9,13.2,2.7,12.8,7.9
9,14.4,2.9,11.2,6.7
9,17,3.45,13.4,8.8
9,13,2.6,11.2,7.4
9,10,2.45,10.3,6.4
9,14,3,11.4,7.4
9,11,2.25,9.6,6.1
9,11.8,2.6,11.7,5.9
9,14.2,3.55,11,6.4
9,10.8,2.35,8.1,5.9
9,10.4,3,9.1,4.9
9,11.2,3.05,9.6,6.8
9,12.2,2.8,10.6,7.6
9,14.7,2.6,11.2,7.1
9,12.6,2.8,10.5,7
9,11.1,2.55,10.3,6.7
9,12.2,2.4,10.2,7.8
9,25.7,5.15,10.9,4.8
9,16.4,3.75,12.4,7.9
9,15.5,2.8,9.5,6.7
9,12,3,11.2,7.1
9,13.5,2.35,12.5,9
9,13.5,2.45,10.1,6.9
9,10.8,2.35,9.2,5
9,11.4,3.25,11.6,6
9,12.6,3.05,10.6,6
9,10.9,2.5,10.6,6.8
9,9.5,2.35,9.8,5.5
9,13.6,3.4,10.8,6.2
9,15,3,13,9.1
9,13.5,2.9,10.8,6.6
9,10.3,2.55,8.1,6
9,15.4,3.85,9.9,6.1
9,13.3,2.55,12,7.8
9,11.7,2.35,9.9,7.6
9,12,2.45,10.4,7.7
9,19.9,3.9,12.2,7.6
9,13.9,3.1,9.9,6.7
9,10.7,3.35,11.4,5.5
9,9.8,2.65,10.9,6
9,16.2,3.3,11.7,8.2
9,13,2.95,10.1,6.1
9,16.1,3.55,12.2,8.1
9,14.8,4.25,14.9,9.9
9,9.6,3.05,8.4,5
9,13,2.75,11.4,7.5
9,17.5,3.5,10.5,6.7
9,10.9,2.7,9,5.1
9,12.5,3.05,11.3,6.2
9,15.5,2.7,9.7,6.5
9,13.2,2.8,11.2,8.5
9,11.4,2.4,11.6,7
9,12.1,1.95,9.9,5.9
9,11.8,2.95,12.8,6.8
9,20.7,4.3,12,6.6
9,16.1,3.2,12.1,6.9
9,9.5,2.25,10.1,7.5
9,13.3,3.05,10.3,6.5
9,13.9,2.85,11,7.2
9,11.9,2.7,9.4,5.6
9,18.1,3.05,12.6,7.5
9,18.8,3.5,11.6,6.4
9,10.2,2.5,8.9,5
9,9.9,2.15,9.3,6.4
9,18,3.6,12.4,6.4
9,15.7,3.25,11,6.7
9,15.2,3.1,14.2,9.2
9,22.2,4.55,12.3,6.9
9,10.2,1.95,10.6,6.4
9,17.4,2.9,12,9.3
9,13.7,3.4,11.7,8.1
9,20.6,3.6,11.4,7.3
9,10.7,2.5,10.9,8
9,16.8,3.6,12.7,8.4
9,10.5,2.8,8.6,4.6
9,13.3,2.5,11.1,8.4
9,9.8,2.55,9.5,8.4
9,9.9,2.8,9.9,6.1
9,10.7,2.3,10.4,7.8
9,14.8,2.7,10.2,7.5
9,10.2,2.35,11.1,8.1
9,12.3,2.8,11.4,5.3
9,11.3,2.5,9.1,4.9
9,12,2.35,10.4,6.6
9,13.4,2.75,10.8,7.3
9,9.9,3.05,8.9,4
9,11,2.5,10.7,6.7
9,13,2.7,11.1,7.4
9,12.4,2.55,10.5,7.5
9,14.9,3.1,11.4,5
9,10.2,2.45,10.5,6.6
9,10,2.45,11.7,7.5
9,17.5,3.05,13,8.4
9,11,2.7,9.1,6.9
9,11.4,2,11.5,8
9,13.6,3.2,12.2,7.7
9,13.1,3.15,11,7.2
9,42.5,7.9,19.7,5.8
9,11,2.5,11.6,8.6
9,16,3.35,11.1,7.2
9,11.7,2.5,11.1,8.3
9,14.4,3,10.4,6.1
9,12.9,2.8,10.6,7.1
9,12.8,3.4,8.9,3.3
9,15,3.5,10.3,7.1
9,13.9,3.35,12,7.3
9,15.6,2.6,12.1,6
9,11.2,2.65,10,6.8
9,10.3,2.35,10.8,7.2
9,13.2,3.3,9.5,2.3
9,16.4,3.1,12.9,8.3
9,16.3,3.4,11.1,7.2
9,10.7,2.8,12.5,8.6
9,11.7,2.2,10.8,8.3
9,10,2.05,10.5,8.6
9,11.2,2.6,11,5.3
9,13.3,3.15,9.3,5.2
9,11.6,2.2,9.2,6.7
9,20,4.7,11.8,5.2
9,14.5,3.05,11.7,7.2
9,10.6,2.05,8.4,4.2
9,12.2,2.7,11.1,8.5
9,20.8,3.85,11.1,8
9,13.3,3.6,10.5,6.8
9,11.7,2.55,10.7,7.8
9,12.7,3.45,10.6,3.4
9,14.4,3.05,9.2,7.5
9,19.5,4.15,10.9,7.5
9,11.2,2.35,9.7,5.2
9,16.5,2.6,12.9,8.8
9,12.8,2.5,10.8,7.4
9,13.5,2.9,10.6,7.3
9,10.7,2.6,9.1,5.4
9,15.9,3.65,9.8,5.2
9,12,2.75,11.1,8.2
9,11.5,2.4,10.2,7
24,12.5,2.15,10.1,4.5
24,54.1,5.15,18.6,12.3
24,10.7,2.4,7.9,5.2
24,23.3,6.4,14.1,9.5
24,17.6,6.3,12.4,9.1
24,15,3.75,10.3,7.2
24,17.2,4.05,12.6,8.4
24,12.2,3.3,8.1,6.2
24,17,2.4,5.7,3.9
24,17,3.5,14.2,8.7
24,19.4,7.4,8.1,5.1
24,32.5,4.4,14.4,8.3
24,31.1,8.75,15.6,7.5
24,22.5,4.05,7.2,5.4
24,15.8,3.1,6.9,4.1
24,36.2,8.55,21,14.6
24,15.2,4.3,10.2,6.3
24,19.1,10.55,13.2,10.1
24,11.6,2.7,9.2,5.9
24,14.8,3.5,9.5,5.2
24,34.7,7.05,18.4,9.6
24,22.8,7.85,16.8,9.5
24,27.1,5.95,14.1,10.6
24,39.6,10.2,23.9,15.2
24,45.4,11.2,23.7,13.9
24,35.4,8,18.5,12.6
24,18.2,6.45,12.1,9.7
24,11,3.65,6,3
24,21.9,3.2,14.8,9.4
24,19.3,5.75,9.9,7.3
24,12.3,3.05,10.6,8.5
24,22.8,6.2,19.1,10.9
24,34,8.1,21.1,12.7
24,26.3,4.75,20.6,17.1
24,16.4,4,12.3,6.7
24,34.9,8.9,18.6,8.8
24,22.2,3.4,15.7,10.5
24,18.5,3.95,13.4,7.4
24,16.7,2.95,13.6,10.3
24,18.4,2.9,12.4,8.1
24,14.7,3.55,10.3,6.2
24,22,7,11.3,7.4
24,58.9,11.55,20.4,12.8
24,23.3,8.85,12.3,9.8
24,39.7,12.45,18.2,11.8
24,41.5,8.5,21.2,11.6
24,9.2,2.2,6.1,3.6
24,16.5,4,10.4,5.3
24,12.8,3.7,9.8,5.3
24,20.1,5.7,13.5,6.1
24,57.3,13.6,19.7,12.2
24,13.4,2.45,8.8,5.8
24,20.4,4.75,14.4,9.4
24,27.3,6.5,18.1,12.3
29,13.8,4.85,8.9,3.8
35,33,3.65,18.4,11.7
35,18.4,5,12.1,5.3
23,28.1,10.15,14.3,8.6
23,23.7,4.7,11.3,7.2
23,25.3,4.3,15.8,8.9
23,16.3,3.5,15.3,8
23,27.6,7.95,16.3,10.1
23,19,5.3,14.7,6.5
